Date,Asset,Asset_Class,Invested_Amount,Current_Value,Returns_Pct,Gain_Loss
2023-07-01,Nifty50 Index Fund,Equity,5000,4785,-4.31,-215
2023-07-01,Gold ETF,Equity,2000,2101,5.05,101
2023-07-01,Fixed Deposit,Debt,10000,10652,6.52,652
2023-07-01,PPF,Debt,3000,2858,-4.72,-142
2023-07-01,US Tech Fund,Equity,4000,4148,3.71,148
2023-07-01,Real Estate Fund,Equity,8000,7908,-1.15,-92
2023-07-01,Liquid Fund,Equity,2000,2119,5.97,119
2023-07-01,Small Cap Fund,Equity,3000,2939,-2.04,-61
2023-08-01,Nifty50 Index Fund,Equity,5000,5337,6.75,337
2023-08-01,Gold ETF,Equity,2000,2031,1.57,31
2023-08-01,Fixed Deposit,Debt,10000,11092,10.92,1092
2023-08-01,PPF,Debt,3000,2920,-2.66,-80
2023-08-01,US Tech Fund,Equity,4000,4032,0.8,32
2023-08-01,Real Estate Fund,Equity,8000,7754,-3.07,-246
2023-08-01,Liquid Fund,Equity,2000,2214,10.72,214
2023-08-01,Small Cap Fund,Equity,3000,3297,9.91,297
2023-09-01,Nifty50 Index Fund,Equity,5000,4969,-0.61,-31
2023-09-01,Gold ETF,Equity,2000,2124,6.22,124
2023-09-01,Fixed Deposit,Debt,10000,10889,8.89,889
2023-09-01,PPF,Debt,3000,3133,4.44,133
2023-09-01,US Tech Fund,Equity,4000,4160,4.0,160
2023-09-01,Real Estate Fund,Equity,8000,7929,-0.89,-71
2023-09-01,Liquid Fund,Equity,2000,1932,-3.42,-68
2023-09-01,Small Cap Fund,Equity,3000,3308,10.25,308
2023-10-01,Nifty50 Index Fund,Equity,5000,5515,10.31,515
2023-10-01,Gold ETF,Equity,2000,2115,5.76,115
2023-10-01,Fixed Deposit,Debt,10000,10076,0.76,76
2023-10-01,PPF,Debt,3000,3028,0.94,28
2023-10-01,US Tech Fund,Equity,4000,4294,7.34,294
2023-10-01,Real Estate Fund,Equity,8000,8820,10.25,820
2023-10-01,Liquid Fund,Equity,2000,2202,10.08,202
2023-10-01,Small Cap Fund,Equity,3000,3248,8.26,248
2023-11-01,Nifty50 Index Fund,Equity,5000,5296,5.91,296
2023-11-01,Gold ETF,Equity,2000,1929,-3.57,-71
2023-11-01,Fixed Deposit,Debt,10000,9775,-2.25,-225
2023-11-01,PPF,Debt,3000,3308,10.28,308
2023-11-01,US Tech Fund,Equity,4000,4212,5.31,212
2023-11-01,Real Estate Fund,Equity,8000,7613,-4.84,-387
2023-11-01,Liquid Fund,Equity,2000,1935,-3.27,-65
2023-11-01,Small Cap Fund,Equity,3000,3188,6.28,188
2023-12-01,Nifty50 Index Fund,Equity,5000,4754,-4.91,-246
2023-12-01,Gold ETF,Equity,2000,1955,-2.27,-45
2023-12-01,Fixed Deposit,Debt,10000,10433,4.33,433
2023-12-01,PPF,Debt,3000,3203,6.76,203
2023-12-01,US Tech Fund,Equity,4000,4243,6.08,243
2023-12-01,Real Estate Fund,Equity,8000,7905,-1.19,-95
2023-12-01,Liquid Fund,Equity,2000,2142,7.11,142
2023-12-01,Small Cap Fund,Equity,3000,2971,-0.97,-29
2024-01-01,Nifty50 Index Fund,Equity,5000,5027,0.53,27
2024-01-01,Gold ETF,Equity,2000,2154,7.69,154
2024-01-01,Fixed Deposit,Debt,10000,10604,6.04,604
2024-01-01,PPF,Debt,3000,3283,9.44,283
2024-01-01,US Tech Fund,Equity,4000,4247,6.18,247
2024-01-01,Real Estate Fund,Equity,8000,8373,4.66,373
2024-01-01,Liquid Fund,Equity,2000,1932,-3.41,-68
2024-01-01,Small Cap Fund,Equity,3000,3038,1.25,38
2024-02-01,Nifty50 Index Fund,Equity,5000,4975,-0.49,-25
2024-02-01,Gold ETF,Equity,2000,1983,-0.85,-17
2024-02-01,Fixed Deposit,Debt,10000,11154,11.54,1154
2024-02-01,PPF,Debt,3000,3050,1.68,50
2024-02-01,US Tech Fund,Equity,4000,4407,10.16,407
2024-02-01,Real Estate Fund,Equity,8000,8458,5.73,458
2024-02-01,Liquid Fund,Equity,2000,2170,8.51,170
2024-02-01,Small Cap Fund,Equity,3000,3106,3.54,106
2024-03-01,Nifty50 Index Fund,Equity,5000,5240,4.81,240
2024-03-01,Gold ETF,Equity,2000,2067,3.37,67
2024-03-01,Fixed Deposit,Debt,10000,9832,-1.68,-168
2024-03-01,PPF,Debt,3000,3218,7.28,218
2024-03-01,US Tech Fund,Equity,4000,3991,-0.23,-9
2024-03-01,Real Estate Fund,Equity,8000,7633,-4.59,-367
2024-03-01,Liquid Fund,Equity,2000,2119,5.97,119
2024-03-01,Small Cap Fund,Equity,3000,2940,-1.99,-60
2024-04-01,Nifty50 Index Fund,Equity,5000,5549,10.99,549
2024-04-01,Gold ETF,Equity,2000,2224,11.22,224
2024-04-01,Fixed Deposit,Debt,10000,11055,10.55,1055
2024-04-01,PPF,Debt,3000,3039,1.29,39
2024-04-01,US Tech Fund,Equity,4000,3811,-4.74,-189
2024-04-01,Real Estate Fund,Equity,8000,8863,10.78,863
2024-04-01,Liquid Fund,Equity,2000,2046,2.28,46
2024-04-01,Small Cap Fund,Equity,3000,3343,11.43,343
2024-05-01,Nifty50 Index Fund,Equity,5000,5569,11.38,569
2024-05-01,Gold ETF,Equity,2000,2190,9.5,190
2024-05-01,Fixed Deposit,Debt,10000,10001,0.01,1
2024-05-01,PPF,Debt,3000,3046,1.55,46
2024-05-01,US Tech Fund,Equity,4000,4379,9.47,379
2024-05-01,Real Estate Fund,Equity,8000,8031,0.39,31
2024-05-01,Liquid Fund,Equity,2000,1958,-2.12,-42
2024-05-01,Small Cap Fund,Equity,3000,3134,4.47,134
2024-06-01,Nifty50 Index Fund,Equity,5000,5546,10.91,546
2024-06-01,Gold ETF,Equity,2000,2137,6.83,137
2024-06-01,Fixed Deposit,Debt,10000,10469,4.69,469
2024-06-01,PPF,Debt,3000,2900,-3.35,-100
2024-06-01,US Tech Fund,Equity,4000,4218,5.46,218
2024-06-01,Real Estate Fund,Equity,8000,8946,11.83,946
2024-06-01,Liquid Fund,Equity,2000,1948,-2.62,-52
2024-06-01,Small Cap Fund,Equity,3000,3114,3.81,114
2024-07-01,Nifty50 Index Fund,Equity,5000,5496,9.92,496
2024-07-01,Gold ETF,Equity,2000,2152,7.59,152
2024-07-01,Fixed Deposit,Debt,10000,10685,6.85,685
2024-07-01,PPF,Debt,3000,3208,6.94,208
2024-07-01,US Tech Fund,Equity,4000,4044,1.11,44
2024-07-01,Real Estate Fund,Equity,8000,7999,-0.01,-1
2024-07-01,Liquid Fund,Equity,2000,2175,8.76,175
2024-07-01,Small Cap Fund,Equity,3000,3263,8.77,263
2024-08-01,Nifty50 Index Fund,Equity,5000,5487,9.74,487
2024-08-01,Gold ETF,Equity,2000,2211,10.53,211
2024-08-01,Fixed Deposit,Debt,10000,10369,3.69,369
2024-08-01,PPF,Debt,3000,3106,3.53,106
2024-08-01,US Tech Fund,Equity,4000,4343,8.57,343
2024-08-01,Real Estate Fund,Equity,8000,8484,6.05,484
2024-08-01,Liquid Fund,Equity,2000,2139,6.93,139
2024-08-01,Small Cap Fund,Equity,3000,3256,8.53,256
2024-09-01,Nifty50 Index Fund,Equity,5000,5507,10.13,507
2024-09-01,Gold ETF,Equity,2000,2015,0.75,15
2024-09-01,Fixed Deposit,Debt,10000,10138,1.38,138
2024-09-01,PPF,Debt,3000,2898,-3.4,-102
2024-09-01,US Tech Fund,Equity,4000,4193,4.83,193
2024-09-01,Real Estate Fund,Equity,8000,7649,-4.39,-351
2024-09-01,Liquid Fund,Equity,2000,2058,2.92,58
2024-09-01,Small Cap Fund,Equity,3000,3127,4.22,127
2024-10-01,Nifty50 Index Fund,Equity,5000,4994,-0.13,-6
2024-10-01,Gold ETF,Equity,2000,2101,5.04,101
2024-10-01,Fixed Deposit,Debt,10000,9552,-4.48,-448
2024-10-01,PPF,Debt,3000,2869,-4.37,-131
2024-10-01,US Tech Fund,Equity,4000,4359,8.98,359
2024-10-01,Real Estate Fund,Equity,8000,8090,1.12,90
2024-10-01,Liquid Fund,Equity,2000,1943,-2.84,-57
2024-10-01,Small Cap Fund,Equity,3000,3116,3.88,116
2024-11-01,Nifty50 Index Fund,Equity,5000,5404,8.09,404
2024-11-01,Gold ETF,Equity,2000,1973,-1.33,-27
2024-11-01,Fixed Deposit,Debt,10000,10559,5.59,559
2024-11-01,PPF,Debt,3000,2894,-3.55,-106
2024-11-01,US Tech Fund,Equity,4000,3835,-4.12,-165
2024-11-01,Real Estate Fund,Equity,8000,8323,4.03,323
2024-11-01,Liquid Fund,Equity,2000,2084,4.19,84
2024-11-01,Small Cap Fund,Equity,3000,3175,5.84,175
2024-12-01,Nifty50 Index Fund,Equity,5000,5367,7.34,367
2024-12-01,Gold ETF,Equity,2000,2232,11.59,232
2024-12-01,Fixed Deposit,Debt,10000,10378,3.78,378
2024-12-01,PPF,Debt,3000,3015,0.49,15
2024-12-01,US Tech Fund,Equity,4000,4341,8.52,341
2024-12-01,Real Estate Fund,Equity,8000,7968,-0.4,-32
2024-12-01,Liquid Fund,Equity,2000,2049,2.46,49
2024-12-01,Small Cap Fund,Equity,3000,2890,-3.67,-110
